id,chID1,chID2,Neuron1,Neuron2,Dist_x,Dist_y,chID1_spikes,chID2_spikes,PS_yes,PS_event,PS_DeltaT,PS_HZ,PS_others,PS_Ratio,PS_pvalue,CI_yes,SC_yes,SC_event,SC_DeltaT_bin,SC_DeltaT_bin_height,SC_DeltaT_m,SC_DeltaT_fq,SC_HZ,SC_Ratio,lambda,probability
206,C8,B9,C8,B9,1,1,603,244,1,243,0.3,1.35,1,0.32,4.68E-139,0,0,243,0,243,0.3,241,1.35,0.403,8,1.70E-260
207,F9,G12,F9,G12,1,3,802,1331,1,230,0.1,1.278,274,0.221,1.27E-101,0,0,453,0,286,0.1,350,2.517,0.565,42,1.37E-134
208,B8,A8,B8,A8,1,0,318,860,1,220,0.45,1.222,99,0.421,1.85E-111,0,0,301,0,259,0.45,265,1.672,0.947,11,6.22E-250
209,B8,C9,B8,C9,1,1,318,2054,1,213,0.2,1.183,122,0.61,4.17E-190,0,0,264,0,264,0.25,272,1.467,0.83,18,2.22E-203
210,B9,C9,B9,C9,1,0,244,2054,1,206,0,1.144,59,0.701,2.40E-179,0,0,239,0,178,0,230,1.328,0.98,19,4.17E-106
211,J11,E3,J11,E3,4,8,396,1617,1,205,0.25,1.139,79,0.508,3.01E-181,0,0,229,0,229,0.25,239,1.272,0.578,23,2.32E-141
212,J11,F5,J11,F5,3,6,396,2006,1,201,0.05,1.117,243,0.487,6.99E-171,0,0,336,0,243,0.05,296,1.867,0.848,34,4.87E-119
213,J11,H6,J11,H6,1,5,396,2080,1,193,0.35,1.072,200,0.278,3.14E-73,0,0,322,0,238,0.35,280,1.789,0.813,30,5.41E-126
214,B10,C10,B10,C10,1,0,449,2272,1,191,0,1.061,249,0.258,3.44E-75,0,0,418,-1,186,0,305,2.322,0.931,29,3.98E-84
215,J11,D11,J11,D11,5,0,396,1015,1,188,0.2,1.044,36,0.27,4.08E-70,0,0,191,0,191,0.2,197,1.061,0.482,19,5.87E-119
216,B9,B10,B9,B10,0,1,244,449,1,187,0.3,1.039,3,0.537,2.66E-123,0,0,187,0,187,0.3,183,1.039,0.766,7,7.13E-191
217,B9,A8,B9,A8,1,1,244,860,1,186,0.25,1.033,62,0.717,3.43E-185,0,0,196,0,196,0.25,205,1.089,0.803,11,4.52E-167
218,H12,J10,H12,J10,1,2,307,1276,1,185,0,1.028,48,0.423,1.09E-113,0,0,221,0,155,0,206,1.228,0.72,13,2.36E-107
219,B8,B10,B8,B10,0,2,318,449,1,183,0.55,1.017,45,0.421,1.85E-111,0,0,211,0,211,0.55,204,1.172,0.664,7,8.74E-226
220,H3,L4,H3,L4,3,1,436,2677,1,171,0.35,0.95,138,0.213,1.16E-52,0,0,211,0,211,0.35,234,1.172,0.484,36,3.00E-88
221,C6,F5,C6,F5,3,1,332,2006,1,166,0.35,0.922,125,0.395,8.50E-108,0,0,189,0,189,0.35,213,1.05,0.569,26,3.13E-94
222,B9,D8,B9,D8,2,1,244,2336,1,163,0.2,0.906,101,0.529,1.26E-120,0,0,234,0,185,0.2,202,1.3,0.959,22,1.71E-102
223,B8,D8,B8,D8,2,0,318,2336,1,162,0.45,0.9,198,0.428,6.44E-114,0,0,300,0,229,0.45,244,1.667,0.943,18,1.40E-163
224,J5,L5,J5,L5,2,0,302,1903,1,159,0.3,0.883,115,0.328,4.85E-76,0,0,181,0,181,0.3,205,1.006,0.599,19,4.90E-109
225,C6,F4,C6,F4,3,2,332,1738,1,158,0.45,0.878,73,0.322,1.26E-79,0,0,169,0,169,0.45,184,0.939,0.509,20,4.09E-94
226,B9,C10,B9,C10,1,1,244,2272,1,157,0.3,0.872,100,0.484,3.70E-106,0,0,238,0,166,0.3,197,1.322,0.975,19,1.32E-94
227,M5,L3,M5,L3,1,2,339,2013,1,156,0.05,0.867,115,0.357,8.33E-96,0,0,251,0,196,0.05,224,1.394,0.74,22,8.05E-113
228,M5,K2,M5,K2,2,3,339,1789,1,155,0.25,0.861,113,0.233,9.20E-50,0,0,205,0,205,0.3,212,1.139,0.605,22,1.81E-121
